vina,alabama,325
shiloh,alabama,323
mentone,alabama,321
maytown,alabama,312
county line,alabama,311
cuba,alabama,306
boligee,alabama,297
gordon,alabama,292
carolina,alabama,290
dozier,alabama,287
epes,alabama,275
colony,alabama,270
goshen,alabama,270
langston,alabama,268
madrid,alabama,265
pine ridge,alabama,264
hodges,alabama,263
coffeeville,alabama,262
sanford,alabama,258
anderson,alabama,256
waldo,alabama,253
fruithurst,alabama,239
gordonville,alabama,239
heath,alabama,238
repton,alabama,234
akron,alabama,226
black,alabama,226
detroit,alabama,225
sweet water,alabama,225
vredenburgh,alabama,223
woodland,alabama,222
fulton,alabama,221
horn hill,alabama,209
yellow bluff,alabama,209
coffee springs,alabama,208
bakerhill,alabama,207
edwardsville,alabama,205
beatrice,alabama,203
mcintosh,alabama,201
gantt,alabama,198
belk,alabama,188
nauvoo,alabama,185
waterloo,alabama,184
beaverton,alabama,183
paint rock,alabama,181
kansas,alabama,179
union,alabama,176
daviston,alabama,174
gainesville,alabama,174
gaylesville,alabama,172
bon air,alabama,168
onycha,alabama,168
providence,alabama,166
loachapoka,alabama,161
riverview,alabama,161
lakeview,alabama,160
geiger,alabama,156
banks,alabama,155
glenwood,alabama,152
waverly,alabama,152
cusseta,alabama,151
orrville,alabama,145
talladega springs,alabama,145
toxey,alabama,144
gu-win,alabama,142
pine apple,alabama,139
newbern,alabama,131
kellyton,alabama,129
eldridge,alabama,128
north johns,alabama,127
billingsley,alabama,126
pollard,alabama,123
five points,alabama,118
haleburg,alabama,115
lester,alabama,112
libertyville,alabama,109
lowndesboro,alabama,84
ridgeville,alabama,84
faunsdale,alabama,83
blue springs,alabama,81
needham,alabama,73
myrtlewood,alabama,71
union grove,alabama,70
petrey,alabama,66
goldville,alabama,53
cardiff,alabama,52
ethelsville,alabama,50
mooresville,alabama,45
benton,alabama,39
emelle,alabama,33
natural bridge,alabama,33
dayton,alabama,28
mcmullen,alabama,28
memphis,alabama,25
oak hill,alabama,14
alaska,alaska,732673
anchorage municipality,alaska,288121
matanuska-susitna borough,alaska,110686
fairbanks north star borough,alaska,95593
balance of matanuska-susitna borough,alaska,93069
balance of fairbanks north star borough,alaska,60606
